Time/Hamming distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
π/4,0,0.0001,0.0004,0.003,0.009,0.027,0.055,0.0876,0.151,0.17,0.173,0.135,0.092,0.057,0.027,0.008,0.003,0.0006,0.0002,0,0
π/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.003,0.008,0.0369,0.11,0.253,0.351,0.238
3π/4,0,0,0.0001,0.002,0.0114,0.0261,0.0549,0.102,0.143,0.1733,0.172,0.1411,0.0897,0.049,0.022,0.009,0.003,0.001,0,0,0
π,0.613,0.306,0.069,0.011,0.0013,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
