Computational basis states,Probabilities
0000,8.594
0001,7.8
0010,5.627
0011,5.481
0100,7.837
0101,6.885
0110,4.883
0111,5.481
1000,9.229
1001,6.445
1010,5.444
1011,4.663
1100,6.726
1101,6.799
1110,3.711
1111,4.395
