Computational basis states,Probabilities
0000,7.532
0001,7.471
0010,6.323
0011,5.591
0100,7.446
0101,6.738
0110,5.408
0111,5.2
1000,8.667
1001,7.227
1010,5.908
1011,4.456
1100,7.129
1101,5.518
1110,4.761
1111,4.626
