Computational basis states,Probabilities
0,4.785
1,0.146
10,87.39
11,1.318
100,0.488
101,1.66
110,1.636
111,1.233
1000,0.94
1001,0
1010,0.269
1011,0
1100,0.012
1101,0.037
1110,0.024
1111,0.061
